id,criado_em,texto,usuario,nome,seguidores,likes,retweets,respostas,idioma,coletado_em,texto_original,texto_limpo
2027158929042526321,2026-02-26 23:08:46+00:00,@charlescfaria @sportv @Cruzeiro Tite não é incompetente ele só tá zincado pela #FielTorcida kkkk,FielTimoneiro,#MarcelãoDaFiel,162,0,0,0,pt,2026-02-26T20:10:41.082841,@charlescfaria @sportv @Cruzeiro Tite não é incompetente ele só tá zincado pela #FielTorcida kkkk,tite nao incompetente so ta zincado fieltorcida kkkk
2027158638805049544,2026-02-26 23:07:36+00:00,"@Emerson71551717 @smzinnn7 @margonarizx @oocbrsao Mas seu time é tão ruim, que nem assim conseguem vencer kkkkkkkkk Os pedreiros do Rural aqui de Minas, venceram o CRUZEIRO treinado por Tite e o nosso freguês Corinthians N. 🫵🤣🤣🤣🤣🤣",sa_cruzeiro,S🅰️ Cruzeiro🦊💙,249,0,0,0,pt,2026-02-26T20:10:41.083522,"@Emerson71551717 @smzinnn7 @margonarizx @oocbrsao Mas seu time é tão ruim, que nem assim conseguem vencer kkkkkkkkk Os pedreiros do Rural aqui de Minas, venceram o CRUZEIRO treinado por Tite e o nosso freguês Corinthians N. 🫵🤣🤣🤣🤣🤣",time tao ruim nem assim conseguem vencer kkkkkkkkk pedreiros rural aqui minas venceram cruzeiro treinado tite fregues corinthians n
2027157638295789909,2026-02-26 23:03:38+00:00,"@DiaDe_Cruzeiro Ótima ideia, assim começam a cobrar esse elenco mimado e não só o Tite",RafaelCostabh,Rafael Costa,75,0,0,0,pt,2026-02-26T20:10:41.083538,"@DiaDe_Cruzeiro Ótima ideia, assim começam a cobrar esse elenco mimado e não só o Tite",otima ideia assim comecam cobrar elenco mimado nao so tite
2027157458213282186,2026-02-26 23:02:55+00:00,"🔵 INFORMAÇÃO   

Não existe nenhum movimento de mudança por parte da diretoria do Cruzeiro. Tite vai comandar o time do Maior de Minas contra o Pouso Alegre no sábado (28).

Via
@samuelvenancio https://t.co/7UrBC7aYEO",ClubismoLucido,Clubismo Lúcido,394,2,0,0,pt,2026-02-26T20:10:41.083547,"🔵 INFORMAÇÃO   

Não existe nenhum movimento de mudança por parte da diretoria do Cruzeiro. Tite vai comandar o time do Maior de Minas contra o Pouso Alegre no sábado (28).

Via
@samuelvenancio https://t.co/7UrBC7aYEO",informacao nao existe nenhum movimento mudanca parte diretoria cruzeiro tite vai comandar time maior minas contra pouso alegre sabado via
2027154778598392048,2026-02-26 22:52:16+00:00,"@Cruzeiro Pelo futebol apresentado tinha que ser entrada franca, e mesmo assim não ir ninguém em forma de protesto....elenco frouxo...fora tite",Gustavo72708063,Gustavo Rodrigo,3,0,0,0,pt,2026-02-26T20:10:41.083555,"@Cruzeiro Pelo futebol apresentado tinha que ser entrada franca, e mesmo assim não ir ninguém em forma de protesto....elenco frouxo...fora tite",futebol apresentado entrada franca assim nao ir ninguem forma protestoelenco frouxofora tite
2027154589242327154,2026-02-26 22:51:31+00:00,"@CarlosWalger O Botafogo só ganhou o Cruzeiro porque os caras querem derrubar o Tite.
O Botafogo só vai passar pelo Barcrlona porque é o mais fraco dos últimos anos.
Mas esse Anselmi não passa da rodada 10.",MartinsBruno81,Bruno Martins,15,0,0,0,pt,2026-02-26T20:10:41.083571,"@CarlosWalger O Botafogo só ganhou o Cruzeiro porque os caras querem derrubar o Tite.
O Botafogo só vai passar pelo Barcrlona porque é o mais fraco dos últimos anos.
Mas esse Anselmi não passa da rodada 10.",botafogo so ganhou cruzeiro porque caras querem derrubar tite botafogo so vai passar barcrlona porque fraco ultimos anos anselmi nao passa rodada
2027154509420491203,2026-02-26 22:51:12+00:00,"*cruzeiro é goleado pelo ibis*

Atualmente, não existe nenhuma movimentação pela diretoria do Cruzeiro de demissão do Tite. Nenhuma. Zero. Estão todos muito felizes. Zero. Zero demissão",crumunista,mundinho steely dan br ☕️🇵🇸,659,1,0,0,pt,2026-02-26T20:10:41.083580,"*cruzeiro é goleado pelo ibis*

Atualmente, não existe nenhuma movimentação pela diretoria do Cruzeiro de demissão do Tite. Nenhuma. Zero. Estão todos muito felizes. Zero. Zero demissão",cruzeiro goleado ibis atualmente nao existe nenhuma movimentacao diretoria cruzeiro demissao tite nenhuma zero estao todos felizes zero zero demissao
2027153877544403041,2026-02-26 22:48:41+00:00,@RATOcec O tite fez um país passar raiva… qual a chance de dar certo no Cruzeiro? Pqp sou São Paulino e tô com raiva dele kkkk,LucianoImada,Luciano imada,14,0,0,0,pt,2026-02-26T20:10:41.083588,@RATOcec O tite fez um país passar raiva… qual a chance de dar certo no Cruzeiro? Pqp sou São Paulino e tô com raiva dele kkkk,tite fez pais passar raiva chance dar certo cruzeiro pqp sao paulino to raiva kkkk
2027153807558492597,2026-02-26 22:48:25+00:00,"🔵 INFORMAÇÃO 

Não existe nenhum movimento de mudança por parte da diretoria do Cruzeiro. Tite vai comandar o time do Maior de Minas contra o Pouso Alegre no sábado (28).

📰 @samuelvenancio https://t.co/TRMhSCLKKB",conexaocec,Conexão Cruzeiro,78757,41,1,12,pt,2026-02-26T20:10:41.083595,"🔵 INFORMAÇÃO 

Não existe nenhum movimento de mudança por parte da diretoria do Cruzeiro. Tite vai comandar o time do Maior de Minas contra o Pouso Alegre no sábado (28).

📰 @samuelvenancio https://t.co/TRMhSCLKKB",informacao nao existe nenhum movimento mudanca parte diretoria cruzeiro tite vai comandar time maior minas contra pouso alegre sabado
2027153481816064461,2026-02-26 22:47:07+00:00,"@Cruzeiro Espero que os 14 mil mandem pedrinho toma no cu, e tite mais William para o quinto dos infernos.",diegoaalmeida2,Diego Almeida,89,0,0,0,pt,2026-02-26T20:10:41.083603,"@Cruzeiro Espero que os 14 mil mandem pedrinho toma no cu, e tite mais William para o quinto dos infernos.",espero mil mandem pedrinho toma cu tite william quinto infernos
2027153457640006002,2026-02-26 22:47:01+00:00,"Tite: “eu quero fazer história no Cruzeiro”

Ele fazendo história quebrando todos os tabus de retrospecto positivo do Cruzeiro",Cruzeirense_9,Pedrinhozete,346,0,0,0,pt,2026-02-26T20:10:41.083611,"Tite: “eu quero fazer história no Cruzeiro”

Ele fazendo história quebrando todos os tabus de retrospecto positivo do Cruzeiro",tite quero fazer historia cruzeiro fazendo historia quebrando todos tabus retrospecto positivo cruzeiro
2027152989685739864,2026-02-26 22:45:10+00:00,"@Cruzeiro Enquanto Tite estiver no túnel, não contem comigo nem pra assistir pela TV",AfonsoAndrade3,Afonso Martins,1,0,0,0,pt,2026-02-26T20:10:41.083619,"@Cruzeiro Enquanto Tite estiver no túnel, não contem comigo nem pra assistir pela TV",enquanto tite tunel nao contem comigo nem pra assistir tv
2027152671828803616,2026-02-26 22:43:54+00:00,@samuelvenancio Cruzeiro tá precisando da saída do Tite isso sim,vitorazulay98,Vitor Azulay,208,0,0,0,pt,2026-02-26T20:10:41.083627,@samuelvenancio Cruzeiro tá precisando da saída do Tite isso sim,cruzeiro ta precisando saida tite sim
2027151872620978497,2026-02-26 22:40:43+00:00,@Cruzeiro FORA TITE,derikpdm,Derik Pierre 💙🦊,161,0,0,0,pt,2026-02-26T20:10:41.083643,@Cruzeiro FORA TITE,fora tite
2027151628315361627,2026-02-26 22:39:45+00:00,@Cruzeiro É pra cantar fora tite do começo ao fim,RATOcec,ratodocruzeiro,2203,1,0,0,pt,2026-02-26T20:10:41.083652,@Cruzeiro É pra cantar fora tite do começo ao fim,pra cantar fora tite comeco fim
2027150601696538777,2026-02-26 22:35:40+00:00,"@Cruzeiro Estou incrédulo que o tite não foi demitido, vocês são retardados?

Foda-se o contexto do tweet, #ForaTite.",flavio_cec,FLÁVIO - SEREI SEMPRE CRUZEIRO,257,1,0,0,pt,2026-02-26T20:10:41.083660,"@Cruzeiro Estou incrédulo que o tite não foi demitido, vocês são retardados?

Foda-se o contexto do tweet, #ForaTite.",incredulo tite nao demitido voces sao retardados fodase contexto tweet foratite
2027149145534841073,2026-02-26 22:29:53+00:00,"@Cruzeiro Abandonar o clube na fase ruim jamais!! Queremos o fora Tite, mas jamais irei te abandonar!💙🦊",WesleyF18629949,Verso celeste💙🇧🇷🇮🇱,59,0,0,0,pt,2026-02-26T20:10:41.083668,"@Cruzeiro Abandonar o clube na fase ruim jamais!! Queremos o fora Tite, mas jamais irei te abandonar!💙🦊",abandonar clube fase ruim jamais queremos fora tite jamais irei abandonar
2027148710774186432,2026-02-26 22:28:09+00:00,@Cruzeiro anuncia a saida do tite nunca?,nanabemsad,nana¹⁹²¹,318,0,0,0,pt,2026-02-26T20:10:41.083676,@Cruzeiro anuncia a saida do tite nunca?,anuncia saida tite nunca
2027147664458981840,2026-02-26 22:24:00+00:00,"@Cruzeiro Vcs mereciam estádio vazio,a torcida só vai pelo Cruzeiro,pq Tite e alguns da diretoria não merecem apoio.",Freitas7Junin,Junior Freitas_9 🦊,146,0,0,0,pt,2026-02-26T20:10:41.083684,"@Cruzeiro Vcs mereciam estádio vazio,a torcida só vai pelo Cruzeiro,pq Tite e alguns da diretoria não merecem apoio.",vcs mereciam estadio vazioa torcida so vai cruzeiropq tite alguns diretoria nao merecem apoio
2027146987745968484,2026-02-26 22:21:19+00:00,@Cruzeiro DEMITE O TITE DESGRAÇA,jootave7,FORATITE FORAWILLIAN,401,1,0,0,pt,2026-02-26T20:10:44.255647,@Cruzeiro DEMITE O TITE DESGRAÇA,demite tite desgraca
2027146674951327934,2026-02-26 22:20:04+00:00,@perazzomar Léo Jardim. Arrumou o Cruzeiro e com o mesmo time Tite arruinou.,BrunoBrasil86,Bruno Brasil,66,0,0,0,pt,2026-02-26T20:10:44.255658,@perazzomar Léo Jardim. Arrumou o Cruzeiro e com o mesmo time Tite arruinou.,leo jardim arrumou cruzeiro time tite arruinou
